ELF2_MOUSE	ELF2_MOUSE
ELF3_MOUSE	ELF3_MOUSE
ELF3_MOUSE	EHF_MOUSE
ELF3_MOUSE	ELF5_MOUSE
ELF4_MOUSE	ELF4_MOUSE
ELF4_MOUSE	ELF1_MOUSE
ELK1_MOUSE	ELK1_MOUSE
ELK4_MOUSE	ELK4_MOUSE
ELK4_MOUSE	ELK3_MOUSE
A0A0R4J0I0_MOUSE	A0A0R4J0I0_MOUSE
A0A0R4J0I0_MOUSE	ETV3_MOUSE
ERG_MOUSE	ERG_MOUSE
ERG_MOUSE	FLI1_MOUSE
ERG_MOUSE	FEV_MOUSE
ETS2_MOUSE	ETS2_MOUSE
ETS2_MOUSE	ETS1_MOUSE
ETV2_MOUSE	ETV2_MOUSE
ETV5_MOUSE	ETV5_MOUSE
ETV5_MOUSE	ETV4_MOUSE
ETV5_MOUSE	ETV1_MOUSE
ETV6_MOUSE	ETV6_MOUSE
GABPA_MOUSE	GABPA_MOUSE
SPDEF_MOUSE	SPDEF_MOUSE
SPI1_MOUSE	SPI1_MOUSE
SPIB_MOUSE	SPIB_MOUSE
SPIC_MOUSE	SPIC_MOUSE
