id	tf_uniprot_id	tf_uniprot_ac	gene_names	species
EXP037026	P46099	KLF1_MOUSE	Klf1 Elkf	Mus musculus
EXP037022	Q92786	PROX1_HUMAN	PROX1	Homo sapiens
EXP037021	Q92786	PROX1_HUMAN	PROX1	Homo sapiens
EXP037020	Q92786	PROX1_HUMAN	PROX1	Homo sapiens
EXP037018	Q92786	PROX1_HUMAN	PROX1	Homo sapiens
EXP037010	P97471	SMAD4_MOUSE	Smad4 Dpc4 Madh4	Mus musculus
EXP037009	Q9EQW6	OLIG2_MOUSE	Olig2	Mus musculus
EXP037008	Q9QZQ0	None	None	Mus musculus
EXP037003	O54963	REST_RAT	Rest Nrsf	Rattus norvegicus
EXP037001	O54963	REST_RAT	Rest Nrsf	Rattus norvegicus
EXP037002	O54963	REST_RAT	Rest Nrsf	Rattus norvegicus
EXP036969	P52747	ZN143_HUMAN	ZNF143 SBF STAF	Homo sapiens
EXP036965	P10085	MYOD1_MOUSE	Myod1 Myod	Mus musculus
EXP036954	P31269	HXA9_HUMAN	HOXA9 HOX1G	Homo sapiens
EXP036955	P31269	HXA9_HUMAN	HOXA9 HOX1G	Homo sapiens
EXP036943	Q9WTL8	None	None	Mus musculus
EXP036946	O08785	CLOCK_MOUSE	Clock	Mus musculus
EXP036947	O08785	CLOCK_MOUSE	Clock	Mus musculus
EXP036948	O08785	CLOCK_MOUSE	Clock	Mus musculus
EXP036949	O08785	CLOCK_MOUSE	Clock	Mus musculus
EXP036950	O08785	CLOCK_MOUSE	Clock	Mus musculus
EXP036951	O08785	CLOCK_MOUSE	Clock	Mus musculus
EXP036939	Q9WTL8	None	None	Mus musculus
EXP036940	Q9WTL8	None	None	Mus musculus
EXP036934	Q13422	IKZF1_HUMAN	IKZF1 IK1 IKAROS LYF1 ZNFN1A1	Homo sapiens
EXP036936	Q13422	IKZF1_HUMAN	IKZF1 IK1 IKAROS LYF1 ZNFN1A1	Homo sapiens
EXP036933	Q13422	IKZF1_HUMAN	IKZF1 IK1 IKAROS LYF1 ZNFN1A1	Homo sapiens
EXP036935	Q13422	IKZF1_HUMAN	IKZF1 IK1 IKAROS LYF1 ZNFN1A1	Homo sapiens
EXP036928	P56270	MAZ_HUMAN	MAZ ZNF801	Homo sapiens
EXP036922	P23204	PPARA_MOUSE	Ppara Nr1c1 Ppar	Mus musculus
EXP036926	P23204	PPARA_MOUSE	Ppara Nr1c1 Ppar	Mus musculus
EXP036925	P28700	RXRA_MOUSE	Rxra Nr2b1	Mus musculus
EXP036914	P40645	SOX6_MOUSE	Sox6 Sox-6	Mus musculus
EXP036913	P35710	SOX5_MOUSE	Sox5 Sox-5	Mus musculus
EXP036908	Q15788	NCOA1_HUMAN	NCOA1 BHLHE74 SRC1	Homo sapiens
EXP036907	P03372	ESR1_HUMAN	ESR1 ESR NR3A1	Homo sapiens
EXP036890	P49711	CTCF_HUMAN	CTCF	Homo sapiens
EXP036887	P10275	ANDR_HUMAN	AR DHTR NR3C4	Homo sapiens
EXP036879	P28700	RXRA_MOUSE	Rxra Nr2b1	Mus musculus
EXP036881	P28700	RXRA_MOUSE	Rxra Nr2b1	Mus musculus
EXP036875	P04637	P53_HUMAN	TP53 P53	Homo sapiens
EXP036872	P04637	P53_HUMAN	TP53 P53	Homo sapiens
EXP036829	P04637	P53_HUMAN	TP53 P53	Homo sapiens
EXP036828	P04637	P53_HUMAN	TP53 P53	Homo sapiens
EXP036826	P04637	P53_HUMAN	TP53 P53	Homo sapiens
EXP036824	P04637	P53_HUMAN	TP53 P53	Homo sapiens
EXP036816	Q60929	MEF2A_MOUSE	Mef2a	Mus musculus
EXP036817	Q60929	MEF2A_MOUSE	Mef2a	Mus musculus
EXP036818	Q60929	MEF2A_MOUSE	Mef2a	Mus musculus
EXP036819	Q60929	MEF2A_MOUSE	Mef2a	Mus musculus
EXP039922	Q61827	MAFK_MOUSE	Mafk Nfe2u	Mus musculus
EXP040186	O75376	NCOR1_HUMAN	NCOR1 KIAA1047	Homo sapiens
EXP039423	Q13127	REST_HUMAN	REST NRSF XBR	Homo sapiens
EXP039551	P29375	KDM5A_HUMAN	KDM5A JARID1A RBBP2 RBP2	Homo sapiens
EXP039760	Q9UGL1	None	None	Homo sapiens
EXP039344	P03372	ESR1_HUMAN	ESR1 ESR NR3A1	Homo sapiens
EXP039349	P03372	ESR1_HUMAN	ESR1 ESR NR3A1	Homo sapiens
EXP039356	P03372	ESR1_HUMAN	ESR1 ESR NR3A1	Homo sapiens
EXP039367	P03372	ESR1_HUMAN	ESR1 ESR NR3A1	Homo sapiens
EXP039851	Q96GC6	ZN274_HUMAN	ZNF274 ZKSCAN19 SP2114	Homo sapiens
EXP039508	Q61069	USF1_MOUSE	Usf1 Usf	Mus musculus
EXP040007	Q61286	HTF4_MOUSE	Tcf12 Alf1 Meb	Mus musculus
EXP039446	Q61286	HTF4_MOUSE	Tcf12 Alf1 Meb	Mus musculus
EXP039530	Q9WU00	None	None	Mus musculus
EXP039970	Q9UMN6	None	None	Homo sapiens
EXP039346	P03372	ESR1_HUMAN	ESR1 ESR NR3A1	Homo sapiens
EXP039348	P04150	GCR_HUMAN	NR3C1 GRL	Homo sapiens
EXP039353	P03372	ESR1_HUMAN	ESR1 ESR NR3A1	Homo sapiens
EXP039354	P03372	ESR1_HUMAN	ESR1 ESR NR3A1	Homo sapiens
EXP039360	P04150	GCR_HUMAN	NR3C1 GRL	Homo sapiens
EXP039403	P03372	ESR1_HUMAN	ESR1 ESR NR3A1	Homo sapiens
EXP039324	P04150	GCR_HUMAN	NR3C1 GRL	Homo sapiens
EXP039325	P04150	GCR_HUMAN	NR3C1 GRL	Homo sapiens
EXP039326	P04150	GCR_HUMAN	NR3C1 GRL	Homo sapiens
EXP039351	P04150	GCR_HUMAN	NR3C1 GRL	Homo sapiens
EXP039396	P16220	CREB1_HUMAN	CREB1	Homo sapiens
EXP039397	P16220	CREB1_HUMAN	CREB1	Homo sapiens
EXP039399	P16220	CREB1_HUMAN	CREB1	Homo sapiens
