ID	Species	GSMID	Cell_line	Cell_type	Tissue_type	Factor	File
1	Homo sapiens	GSM448026	HeLa	Epithelium	Cervix	BTAF1	1_sort_peaks.narrowPeak.bed
2	Homo sapiens	GSM448027	HeLa	Epithelium	Cervix	GAPDH	2_sort_peaks.narrowPeak.bed
4	Homo sapiens	GSM540707	K562	Erythroblast	Bone Marrow	EGR1	4_sort_peaks.narrowPeak.bed
6	Homo sapiens	GSM460127	LS174T	Epithelium	Colon	TCF4	6_sort_peaks.narrowPeak.bed
8	Homo sapiens	GSM460125	LS174T	Epithelium	Colon	TCF4	8_sort_peaks.narrowPeak.bed
9	Homo sapiens	GSM460124	LS174T	Epithelium	Colon	TCF4	9_sort_peaks.narrowPeak.bed
11	Homo sapiens	GSM460122	LS174T	Epithelium	Colon	TCF4	11_sort_peaks.narrowPeak.bed
12	Homo sapiens	GSM460121	LS174T	Epithelium	Colon	TCF4	12_sort_peaks.narrowPeak.bed
17	Homo sapiens	GSM638201	BJ	Fibroblast	Skin	TERF1	17_sort_peaks.narrowPeak.bed
18	Homo sapiens	GSM638202	BJ	Fibroblast	Skin	TERF2	18_sort_peaks.narrowPeak.bed
84	Homo sapiens	GSM353640	22RV1	Epithelium	Prostate	AR	84_sort_peaks.narrowPeak.bed
93	Homo sapiens	GSM520382	HEK293T	Epithelium	Embryonic Kidney	PHF8	93_sort_peaks.narrowPeak.bed
276	Homo sapiens	GSM539547	BG03	Embryonic Stem Cell	Embryo	SMAD3	276_sort_peaks.narrowPeak.bed
278	Homo sapiens	GSM539548	BG03	Embryonic Stem Cell	Embryo	SMAD3	278_sort_peaks.narrowPeak.bed
279	Homo sapiens	GSM508792	BJ	Fibroblast	Skin	BRD7	279_sort_peaks.narrowPeak.bed
280	Homo sapiens	GSM508791	BJ	Fibroblast	Skin	BRD7	280_sort_peaks.narrowPeak.bed
291	Homo sapiens	GSM508794	BJ	Fibroblast	Skin	TP53	291_sort_peaks.narrowPeak.bed
292	Homo sapiens	GSM508793	BJ	Fibroblast	Skin	TP53	292_sort_peaks.narrowPeak.bed
356	Homo sapiens	GSM575225	Caco-2	Epithelium	Colon	CDX2	356_sort_peaks.narrowPeak.bed
357	Homo sapiens	GSM575224	Caco-2	Epithelium	Colon	CDX2	357_sort_peaks.narrowPeak.bed
361	Homo sapiens	GSM575227	Caco-2	Epithelium	Colon	GATA6	361_sort_peaks.narrowPeak.bed
362	Homo sapiens	GSM575226	Caco-2	Epithelium	Colon	GATA6	362_sort_peaks.narrowPeak.bed
371	Homo sapiens	GSM575229	Caco-2	Epithelium	Colon	HNF4A	371_sort_peaks.narrowPeak.bed
372	Homo sapiens	GSM575228	Caco-2	Epithelium	Colon	HNF4A	372_sort_peaks.narrowPeak.bed
384	Homo sapiens	GSM610330	CMK	Megakaryocyte	Blood	RUNX1	384_sort_peaks.narrowPeak.bed
392	Homo sapiens	GSM732904	CUTLL1	T Lymphocyte	Blood	NOTCH1	392_sort_peaks.narrowPeak.bed
393	Homo sapiens	GSM732903	CUTLL1	T Lymphocyte	Blood	NOTCH1	393_sort_peaks.narrowPeak.bed
394	Homo sapiens	GSM732906	CUTLL1	T Lymphocyte	Blood	RBPJ	394_sort_peaks.narrowPeak.bed
395	Homo sapiens	GSM732905	CUTLL1	T Lymphocyte	Blood	RBPJ	395_sort_peaks.narrowPeak.bed
396	Homo sapiens	GSM732907	CUTLL1	T Lymphocyte	Blood	ZNF143	396_sort_peaks.narrowPeak.bed
397	Homo sapiens	GSM586973	DFB	Melanocyte	Skin	IGF1R	397_sort_peaks.narrowPeak.bed
460	Homo sapiens	GSM589243	ECC-1	Epithelium	Endometrium	ESR1	460_sort_peaks.narrowPeak.bed
461	Homo sapiens	GSM589242	ECC-1	Epithelium	Endometrium	ESR1	461_sort_peaks.narrowPeak.bed
534	Homo sapiens	GSM558678	GIST48	Mesenchymal Stem Cell	Stomach	ETV1	534_sort_peaks.narrowPeak.bed
542	Homo sapiens	GSM537063	GM06990	B Lymphocyte	Blood	E2F4	542_sort_peaks.narrowPeak.bed
559	Homo sapiens	GSM558633	GM10855	Lymphocyte	Blood	VDR	559_sort_peaks.narrowPeak.bed
560	Homo sapiens	GSM558632	GM10855	Lymphocyte	Blood	VDR	560_sort_peaks.narrowPeak.bed
561	Homo sapiens	GSM558631	GM10855	Lymphocyte	Blood	VDR	561_sort_peaks.narrowPeak.bed
562	Homo sapiens	GSM558630	GM10855	Lymphocyte	Blood	VDR	562_sort_peaks.narrowPeak.bed
564	Homo sapiens	GSM558637	GM10861	Lymphocyte	Blood	VDR	564_sort_peaks.narrowPeak.bed
565	Homo sapiens	GSM558636	GM10861	Lymphocyte	Blood	VDR	565_sort_peaks.narrowPeak.bed
566	Homo sapiens	GSM558635	GM10861	Lymphocyte	Blood	VDR	566_sort_peaks.narrowPeak.bed
567	Homo sapiens	GSM558634	GM10861	Lymphocyte	Blood	VDR	567_sort_peaks.narrowPeak.bed
621	Homo sapiens	GSM754332	GM12878	B Lymphocyte	Blood	FOS	621_sort_peaks.narrowPeak.bed
660	Homo sapiens	GSM754331	GM12878	B Lymphocyte	Blood	JUND	660_sort_peaks.narrowPeak.bed
661	Homo sapiens	GSM754333	GM12878	B Lymphocyte	Blood	MAX	661_sort_peaks.narrowPeak.bed
666	Homo sapiens	GSM754334	GM12878	B Lymphocyte	Blood	MYC	666_sort_peaks.narrowPeak.bed
669	Homo sapiens	GSM608158	GM12878	B Lymphocyte	Blood	NR2C2	669_sort_peaks.narrowPeak.bed
670	Homo sapiens	GSM608157	GM12878	B Lymphocyte	Blood	NR2C2	670_sort_peaks.narrowPeak.bed
677	Homo sapiens	GSM754330	GM12878	B Lymphocyte	Blood	POLR2A	677_sort_peaks.narrowPeak.bed
691	Homo sapiens	GSM487429	GM12878	B Lymphocyte	Blood	POLR3A	691_sort_peaks.narrowPeak.bed
731	Homo sapiens	GSM607488	GM12878	B Lymphocyte	Blood	ZNF274	731_sort_peaks.narrowPeak.bed
732	Homo sapiens	GSM607487	GM12878	B Lymphocyte	Blood	ZNF274	732_sort_peaks.narrowPeak.bed
832	Homo sapiens	GSM518375	H1	Embryonic Stem Cell	Embryo	CTCF	832_sort_peaks.narrowPeak.bed
955	Homo sapiens	GSM518374	H1	Embryonic Stem Cell	Embryo	NANOG	955_sort_peaks.narrowPeak.bed
966	Homo sapiens	GSM563088	H1	Embryonic Stem Cell	Embryo	PRDM14	966_sort_peaks.narrowPeak.bed
1006	Homo sapiens	GSM640691	H9	Embryonic Stem Cell	Embryo	EOMES	1006_sort_peaks.narrowPeak.bed
1007	Homo sapiens	GSM602291	H9	Embryonic Stem Cell	Embryo	EP300	1007_sort_peaks.narrowPeak.bed
1009	Homo sapiens	GSM327665	H9	Embryonic Stem Cell	Embryo	EZH2	1009_sort_peaks.narrowPeak.bed
1010	Homo sapiens	GSM727589	H9	Embryonic Stem Cell	Embryo	FOXH1	1010_sort_peaks.narrowPeak.bed
1011	Homo sapiens	GSM727564	H9	Embryonic Stem Cell	Embryo	FOXH1	1011_sort_peaks.narrowPeak.bed
1012	Homo sapiens	GSM768311	H9	Embryonic Stem Cell	Embryo	FOXP1	1012_sort_peaks.narrowPeak.bed
1013	Homo sapiens	GSM768310	H9	Embryonic Stem Cell	Embryo	FOXP1	1013_sort_peaks.narrowPeak.bed
1078	Homo sapiens	GSM327669	None	Embryonic Stem Cell	None	RNF2	1078_sort_peaks.narrowPeak.bed
1079	Homo sapiens	GSM327666	H9	Embryonic Stem Cell	Embryo	RNF2	1079_sort_peaks.narrowPeak.bed
1080	Homo sapiens	GSM727584	H9	Embryonic Stem Cell	Embryo	SMAD2/3	1080_sort_peaks.narrowPeak.bed
1081	Homo sapiens	GSM727583	H9	Embryonic Stem Cell	Embryo	SMAD2/3	1081_sort_peaks.narrowPeak.bed
1082	Homo sapiens	GSM727558	H9	Embryonic Stem Cell	Embryo	SMAD2/3	1082_sort_peaks.narrowPeak.bed
1083	Homo sapiens	GSM727557	H9	Embryonic Stem Cell	Embryo	SMAD2/3	1083_sort_peaks.narrowPeak.bed
1084	Homo sapiens	GSM727585	H9	Embryonic Stem Cell	Embryo	SMAD3	1084_sort_peaks.narrowPeak.bed
1085	Homo sapiens	GSM727559	H9	Embryonic Stem Cell	Embryo	SMAD3	1085_sort_peaks.narrowPeak.bed
1086	Homo sapiens	GSM727586	H9	Embryonic Stem Cell	Embryo	SMAD4	1086_sort_peaks.narrowPeak.bed
1087	Homo sapiens	GSM727561	H9	Embryonic Stem Cell	Embryo	SMAD4	1087_sort_peaks.narrowPeak.bed
1140	Homo sapiens	GSM749823	HCT-116	None	Colon	AFF4	1140_sort_peaks.narrowPeak.bed
1141	Homo sapiens	GSM749819	HCT-116	None	Colon	AFF4	1141_sort_peaks.narrowPeak.bed
1143	Homo sapiens	GSM749822	HCT-116	None	Colon	ELL2	1143_sort_peaks.narrowPeak.bed
1144	Homo sapiens	GSM749818	HCT-116	None	Colon	ELL2	1144_sort_peaks.narrowPeak.bed
1151	Homo sapiens	GSM749821	HCT-116	None	Colon	POLR2A	1151_sort_peaks.narrowPeak.bed
1152	Homo sapiens	GSM749817	HCT-116	None	Colon	POLR2A	1152_sort_peaks.narrowPeak.bed
1168	Homo sapiens	GSM509047	HEK293T	Epithelium	Embryonic Kidney	POLR3G	1168_sort_peaks.narrowPeak.bed
1172	Homo sapiens	GSM700361	HEK293	Epithelium	Embryonic Kidney	ELK4	1172_sort_peaks.narrowPeak.bed
1173	Homo sapiens	GSM700360	HEK293	Epithelium	Embryonic Kidney	ELK4	1173_sort_peaks.narrowPeak.bed
1174	Homo sapiens	GSM700357	HEK293	Epithelium	Embryonic Kidney	TRIM28	1174_sort_peaks.narrowPeak.bed
1175	Homo sapiens	GSM700356	HEK293	Epithelium	Embryonic Kidney	TRIM28	1175_sort_peaks.narrowPeak.bed
1176	Homo sapiens	GSM700355	HEK293	Epithelium	Embryonic Kidney	TRIM28	1176_sort_peaks.narrowPeak.bed
1177	Homo sapiens	GSM700354	HEK293	Epithelium	Embryonic Kidney	TRIM28	1177_sort_peaks.narrowPeak.bed
1178	Homo sapiens	GSM700353	HEK293	Epithelium	Embryonic Kidney	TRIM28	1178_sort_peaks.narrowPeak.bed
1191	Homo sapiens	GSM301567	HEK293	Epithelium	Embryonic Kidney	POLR2A	1191_sort_peaks.narrowPeak.bed
1192	Homo sapiens	GSM301566	HEK293	Epithelium	Embryonic Kidney	POLR2A	1192_sort_peaks.narrowPeak.bed
1194	Homo sapiens	GSM700359	HEK293	Epithelium	Embryonic Kidney	TRIM28	1194_sort_peaks.narrowPeak.bed
1195	Homo sapiens	GSM700358	HEK293	Epithelium	Embryonic Kidney	TRIM28	1195_sort_peaks.narrowPeak.bed
1196	Homo sapiens	GSM501711	HeLa	Epithelium	Cervix	BDP1	1196_sort_peaks.narrowPeak.bed
1197	Homo sapiens	GSM509049	HeLa	Epithelium	Cervix	BRF1	1197_sort_peaks.narrowPeak.bed
1198	Homo sapiens	GSM509050	HeLa	Epithelium	Cervix	BRF2	1198_sort_peaks.narrowPeak.bed
1203	Homo sapiens	GSM325897	HeLa	Epithelium	Cervix	CTCF	1203_sort_peaks.narrowPeak.bed
1208	Homo sapiens	GSM593999	HeLa	Epithelium	Cervix	DDX5	1208_sort_peaks.narrowPeak.bed
1212	Homo sapiens	GSM558469	HeLa	Epithelium	Cervix	E2F1	1212_sort_peaks.narrowPeak.bed
1213	Homo sapiens	GSM608163	HeLa-S3	Epithelium	Cervix	ELK1	1213_sort_peaks.narrowPeak.bed
1214	Homo sapiens	GSM608162	HeLa-S3	Epithelium	Cervix	ELK4	1214_sort_peaks.narrowPeak.bed
1215	Homo sapiens	GSM608161	HeLa-S3	Epithelium	Cervix	ELK4	1215_sort_peaks.narrowPeak.bed
1218	Homo sapiens	GSM566161	HeLa	Epithelium	Cervix	GATAD1	1218_sort_peaks.narrowPeak.bed
1219	Homo sapiens	GSM566155	HeLa	Epithelium	Cervix	GATAD1	1219_sort_peaks.narrowPeak.bed
1220	Homo sapiens	GSM566167	HeLa	Epithelium	Cervix	LRWD1	1220_sort_peaks.narrowPeak.bed
1221	Homo sapiens	GSM566166	HeLa	Epithelium	Cervix	GLYR1	1221_sort_peaks.narrowPeak.bed
1222	Homo sapiens	GSM566164	HeLa	Epithelium	Cervix	TRRAP	1222_sort_peaks.narrowPeak.bed
1223	Homo sapiens	GSM566163	HeLa	Epithelium	Cervix	C17orf49	1223_sort_peaks.narrowPeak.bed
1224	Homo sapiens	GSM566162	HeLa	Epithelium	Cervix	CCDC101	1224_sort_peaks.narrowPeak.bed
1225	Homo sapiens	GSM566160	HeLa	Epithelium	Cervix	GLYR1	1225_sort_peaks.narrowPeak.bed
1226	Homo sapiens	GSM566158	HeLa	Epithelium	Cervix	TRRAP	1226_sort_peaks.narrowPeak.bed
1227	Homo sapiens	GSM566157	HeLa	Epithelium	Cervix	C17orf49	1227_sort_peaks.narrowPeak.bed
1228	Homo sapiens	GSM566156	HeLa	Epithelium	Cervix	CCDC101	1228_sort_peaks.narrowPeak.bed
1229	Homo sapiens	GSM509056	HeLa	Epithelium	Cervix	GTF3C1	1229_sort_peaks.narrowPeak.bed
1230	Homo sapiens	GSM501712	HeLa	Epithelium	Cervix	GTF3C1	1230_sort_peaks.narrowPeak.bed
1231	Homo sapiens	GSM335960	HeLa	Epithelium	Cervix	H2AZ	1231_sort_peaks.narrowPeak.bed
1232	Homo sapiens	GSM335956	HeLa	Epithelium	Cervix	H2AZ	1232_sort_peaks.narrowPeak.bed
1298	Homo sapiens	GSM608160	HeLa-S3	Epithelium	Cervix	NR2C2	1298_sort_peaks.narrowPeak.bed
1299	Homo sapiens	GSM608159	HeLa-S3	Epithelium	Cervix	NR2C2	1299_sort_peaks.narrowPeak.bed
1300	Homo sapiens	GSM604663	HeLa	Epithelium	Cervix	NR3C1	1300_sort_peaks.narrowPeak.bed
1301	Homo sapiens	GSM604662	HeLa	Epithelium	Cervix	NR3C1	1301_sort_peaks.narrowPeak.bed
1302	Homo sapiens	GSM604653	HeLa	Epithelium	Cervix	NR3C1	1302_sort_peaks.narrowPeak.bed
1303	Homo sapiens	GSM604652	HeLa	Epithelium	Cervix	NR3C1	1303_sort_peaks.narrowPeak.bed
1304	Homo sapiens	GSM604651	HeLa	Epithelium	Cervix	NR3C1	1304_sort_peaks.narrowPeak.bed
1305	Homo sapiens	GSM604650	HeLa	Epithelium	Cervix	NR3C1	1305_sort_peaks.narrowPeak.bed
1306	Homo sapiens	GSM604649	HeLa	Epithelium	Cervix	NR3C1	1306_sort_peaks.narrowPeak.bed
1307	Homo sapiens	GSM604648	HeLa	Epithelium	Cervix	NR3C1	1307_sort_peaks.narrowPeak.bed
1308	Homo sapiens	GSM566165	HeLa	Epithelium	Cervix	PHF8	1308_sort_peaks.narrowPeak.bed
1309	Homo sapiens	GSM566159	HeLa	Epithelium	Cervix	PHF8	1309_sort_peaks.narrowPeak.bed
1312	Homo sapiens	GSM558470	HeLa	Epithelium	Cervix	PHF8	1312_sort_peaks.narrowPeak.bed
1313	Homo sapiens	GSM531964	HeLa	Epithelium	Cervix	PHF8	1313_sort_peaks.narrowPeak.bed
1314	Homo sapiens	GSM520381	HeLa	Epithelium	Cervix	PHF8	1314_sort_peaks.narrowPeak.bed
1315	Homo sapiens	GSM766172	HeLa	Epithelium	Cervix	POLR2A	1315_sort_peaks.narrowPeak.bed
1316	Homo sapiens	GSM766171	HeLa	Epithelium	Cervix	POLR2A	1316_sort_peaks.narrowPeak.bed
1319	Homo sapiens	GSM604667	HeLa	Epithelium	Cervix	POLR2A	1319_sort_peaks.narrowPeak.bed
1320	Homo sapiens	GSM604666	HeLa	Epithelium	Cervix	POLR2A	1320_sort_peaks.narrowPeak.bed
1321	Homo sapiens	GSM604665	HeLa	Epithelium	Cervix	POLR2A	1321_sort_peaks.narrowPeak.bed
1322	Homo sapiens	GSM604664	HeLa	Epithelium	Cervix	POLR2A	1322_sort_peaks.narrowPeak.bed
1327	Homo sapiens	GSM320735	HeLa-S3	Epithelium	Cervix	POLR2A	1327_sort_peaks.narrowPeak.bed
1328	Homo sapiens	GSM320734	HeLa-S3	Epithelium	Cervix	POLR2A	1328_sort_peaks.narrowPeak.bed
1329	Homo sapiens	GSM501710	HeLa	Epithelium	Cervix	POLR3A	1329_sort_peaks.narrowPeak.bed
1330	Homo sapiens	GSM509053	HeLa	Epithelium	Cervix	POLR3G	1330_sort_peaks.narrowPeak.bed
1331	Homo sapiens	GSM509052	HeLa	Epithelium	Cervix	POLR3G	1331_sort_peaks.narrowPeak.bed
1332	Homo sapiens	GSM357351	HeLa	Epithelium	Cervix	POU2F1	1332_sort_peaks.narrowPeak.bed
1333	Homo sapiens	GSM604661	HeLa	Epithelium	Cervix	RELA	1333_sort_peaks.narrowPeak.bed
1334	Homo sapiens	GSM604660	HeLa	Epithelium	Cervix	RELA	1334_sort_peaks.narrowPeak.bed
1335	Homo sapiens	GSM604659	HeLa	Epithelium	Cervix	RELA	1335_sort_peaks.narrowPeak.bed
1336	Homo sapiens	GSM604658	HeLa	Epithelium	Cervix	RELA	1336_sort_peaks.narrowPeak.bed
1337	Homo sapiens	GSM604657	HeLa	Epithelium	Cervix	RELA	1337_sort_peaks.narrowPeak.bed
1338	Homo sapiens	GSM604656	HeLa	Epithelium	Cervix	RELA	1338_sort_peaks.narrowPeak.bed
1339	Homo sapiens	GSM604655	HeLa	Epithelium	Cervix	RELA	1339_sort_peaks.narrowPeak.bed
1340	Homo sapiens	GSM604654	HeLa	Epithelium	Cervix	RELA	1340_sort_peaks.narrowPeak.bed
1344	Homo sapiens	GSM601399	HeLa	Epithelium	Cervix	SMARCA4	1344_sort_peaks.narrowPeak.bed
1345	Homo sapiens	GSM601398	HeLa	Epithelium	Cervix	SMARCB1	1345_sort_peaks.narrowPeak.bed
1346	Homo sapiens	GSM601400	HeLa	Epithelium	Cervix	SMARCC1	1346_sort_peaks.narrowPeak.bed
1347	Homo sapiens	GSM601401	HeLa	Epithelium	Cervix	SMARCC2	1347_sort_peaks.narrowPeak.bed
1348	Homo sapiens	GSM558473	HeLa	Epithelium	Cervix	SMC4	1348_sort_peaks.narrowPeak.bed
1349	Homo sapiens	GSM385515	HeLa-S3	Epithelium	Cervix	STAT1	1349_sort_peaks.narrowPeak.bed
1350	Homo sapiens	GSM385514	HeLa-S3	Epithelium	Cervix	STAT1	1350_sort_peaks.narrowPeak.bed
1351	Homo sapiens	GSM385513	HeLa-S3	Epithelium	Cervix	STAT1	1351_sort_peaks.narrowPeak.bed
1352	Homo sapiens	GSM385512	HeLa-S3	Epithelium	Cervix	STAT1	1352_sort_peaks.narrowPeak.bed
1353	Homo sapiens	GSM385511	HeLa-S3	Epithelium	Cervix	STAT1	1353_sort_peaks.narrowPeak.bed
1354	Homo sapiens	GSM385510	HeLa-S3	Epithelium	Cervix	STAT1	1354_sort_peaks.narrowPeak.bed
1355	Homo sapiens	GSM385509	HeLa-S3	Epithelium	Cervix	STAT1	1355_sort_peaks.narrowPeak.bed
1356	Homo sapiens	GSM385508	HeLa-S3	Epithelium	Cervix	STAT1	1356_sort_peaks.narrowPeak.bed
1357	Homo sapiens	GSM385507	HeLa-S3	Epithelium	Cervix	STAT1	1357_sort_peaks.narrowPeak.bed
1358	Homo sapiens	GSM385506	HeLa-S3	Epithelium	Cervix	STAT1	1358_sort_peaks.narrowPeak.bed
1359	Homo sapiens	GSM385505	HeLa-S3	Epithelium	Cervix	STAT1	1359_sort_peaks.narrowPeak.bed
1360	Homo sapiens	GSM385504	HeLa-S3	Epithelium	Cervix	STAT1	1360_sort_peaks.narrowPeak.bed
1361	Homo sapiens	GSM385503	HeLa-S3	Epithelium	Cervix	STAT1	1361_sort_peaks.narrowPeak.bed
1362	Homo sapiens	GSM320736	HeLa-S3	Epithelium	Cervix	STAT1	1362_sort_peaks.narrowPeak.bed
1367	Homo sapiens	GSM607486	HeLa	Epithelium	Cervix	ZNF274	1367_sort_peaks.narrowPeak.bed
1368	Homo sapiens	GSM607485	HeLa	Epithelium	Cervix	ZNF274	1368_sort_peaks.narrowPeak.bed
1374	Homo sapiens	GSM614634	HepG2	Epithelium	Liver	CEBPA	1374_sort_peaks.narrowPeak.bed
1375	Homo sapiens	GSM614633	HepG2	Epithelium	Liver	CEBPA	1375_sort_peaks.narrowPeak.bed
1380	Homo sapiens	GSM614637	HepG2	Epithelium	Liver	CTCF	1380_sort_peaks.narrowPeak.bed
1381	Homo sapiens	GSM614636	HepG2	Epithelium	Liver	CTCF	1381_sort_peaks.narrowPeak.bed
1382	Homo sapiens	GSM614631	HepG2	Epithelium	Liver	CTCF	1382_sort_peaks.narrowPeak.bed
1383	Homo sapiens	GSM614630	HepG2	Epithelium	Liver	CTCF	1383_sort_peaks.narrowPeak.bed
1447	Homo sapiens	GSM614632	HepG2	Epithelium	Liver	HNF4A	1447_sort_peaks.narrowPeak.bed
1448	Homo sapiens	GSM469864	HepG2	Epithelium	Liver	HNF4A	1448_sort_peaks.narrowPeak.bed
1449	Homo sapiens	GSM469863	HepG2	Epithelium	Liver	HNF4A	1449_sort_peaks.narrowPeak.bed
1452	Homo sapiens	GSM469865	HepG2	Epithelium	Liver	HNF4G	1452_sort_peaks.narrowPeak.bed
1463	Homo sapiens	GSM608156	HepG2	Epithelium	Liver	NR2C2	1463_sort_peaks.narrowPeak.bed
1464	Homo sapiens	GSM608155	HepG2	Epithelium	Liver	NR2C2	1464_sort_peaks.narrowPeak.bed
1470	Homo sapiens	GSM614629	HepG2	Epithelium	Liver	RAD21	1470_sort_peaks.narrowPeak.bed
1471	Homo sapiens	GSM614628	HepG2	Epithelium	Liver	RAD21	1471_sort_peaks.narrowPeak.bed
1492	Homo sapiens	GSM614627	HepG2	Epithelium	Liver	STAG1	1492_sort_peaks.narrowPeak.bed
1493	Homo sapiens	GSM614626	HepG2	Epithelium	Liver	STAG1	1493_sort_peaks.narrowPeak.bed
1507	Homo sapiens	GSM607484	HepG2	Epithelium	Liver	ZNF274	1507_sort_peaks.narrowPeak.bed
1508	Homo sapiens	GSM607483	HepG2	Epithelium	Liver	ZNF274	1508_sort_peaks.narrowPeak.bed
1628	Homo sapiens	GSM520384	Hs68	Fibroblast	Foreskin	PHF8	1628_sort_peaks.narrowPeak.bed
1629	Homo sapiens	GSM520383	Hs68	Fibroblast	Foreskin	PHF8	1629_sort_peaks.narrowPeak.bed
1740	Homo sapiens	GSM730704	None	Endothelial Cell	Umbilical Vein	FOS	1740_sort_peaks.narrowPeak.bed
1741	Homo sapiens	GSM730703	None	Endothelial Cell	Umbilical Vein	FOS	1741_sort_peaks.narrowPeak.bed
1742	Homo sapiens	GSM730702	None	Endothelial Cell	Umbilical Vein	GATA2	1742_sort_peaks.narrowPeak.bed
1743	Homo sapiens	GSM730701	None	Endothelial Cell	Umbilical Vein	GATA2	1743_sort_peaks.narrowPeak.bed
1792	Homo sapiens	GSM729854	IB4	Lymphocyte	Blood	RBPJ	1792_sort_peaks.narrowPeak.bed
1793	Homo sapiens	GSM729853	IB4	Lymphocyte	Blood	RBPJ	1793_sort_peaks.narrowPeak.bed
1794	Homo sapiens	GSM729852	IB4	Lymphocyte	Blood	SND1	1794_sort_peaks.narrowPeak.bed
1795	Homo sapiens	GSM729851	IB4	Lymphocyte	Blood	SND1	1795_sort_peaks.narrowPeak.bed
1796	Homo sapiens	GSM454596	IMR90	Fibroblast	Lung	BDP1	1796_sort_peaks.narrowPeak.bed
1797	Homo sapiens	GSM454597	IMR90	Fibroblast	Lung	BRF1	1797_sort_peaks.narrowPeak.bed
1869	Homo sapiens	GSM454595	IMR90	Fibroblast	Lung	POLR3D	1869_sort_peaks.narrowPeak.bed
1870	Homo sapiens	GSM497493	IMR90	Fibroblast	Lung	RB1	1870_sort_peaks.narrowPeak.bed
1871	Homo sapiens	GSM497491	IMR90	Fibroblast	Lung	RB1	1871_sort_peaks.narrowPeak.bed
1872	Homo sapiens	GSM497490	IMR90	Fibroblast	Lung	RB1	1872_sort_peaks.narrowPeak.bed
1873	Homo sapiens	GSM497489	IMR90	Fibroblast	Lung	RB1	1873_sort_peaks.narrowPeak.bed
1874	Homo sapiens	GSM497499	IMR90	Fibroblast	Lung	RBL2	1874_sort_peaks.narrowPeak.bed
1875	Homo sapiens	GSM497498	IMR90	Fibroblast	Lung	RBL2	1875_sort_peaks.narrowPeak.bed
1876	Homo sapiens	GSM497497	IMR90	Fibroblast	Lung	RBL2	1876_sort_peaks.narrowPeak.bed
1877	Homo sapiens	GSM497496	IMR90	Fibroblast	Lung	RBL2	1877_sort_peaks.narrowPeak.bed
1878	Homo sapiens	GSM497495	IMR90	Fibroblast	Lung	RBL2	1878_sort_peaks.narrowPeak.bed
1879	Homo sapiens	GSM497494	IMR90	Fibroblast	Lung	RBL2	1879_sort_peaks.narrowPeak.bed
1880	Homo sapiens	GSM497492	IMR90	Fibroblast	Lung	RBL2	1880_sort_peaks.narrowPeak.bed
1881	Homo sapiens	GSM454599	IMR90	Fibroblast	Lung	SNAPC2	1881_sort_peaks.narrowPeak.bed
1932	Homo sapiens	GSM589241	Ishikawa	Epithelium	Uterus	ESR1	1932_sort_peaks.narrowPeak.bed
1933	Homo sapiens	GSM589240	Ishikawa	Epithelium	Uterus	ESR1	1933_sort_peaks.narrowPeak.bed
1935	Homo sapiens	GSM449527	Jurkat E6-1	T Lymphocyte	Blood	CREBBP	1935_sort_peaks.narrowPeak.bed
1936	Homo sapiens	GSM325899	Jurkat	T Lymphocyte	Blood	CTCF	1936_sort_peaks.narrowPeak.bed
1938	Homo sapiens	GSM449525	Jurkat E6-1	T Lymphocyte	Blood	ETS1	1938_sort_peaks.narrowPeak.bed
1950	Homo sapiens	GSM569088	Jurkat E6-1	T Lymphocyte	Blood	POLR2A	1950_sort_peaks.narrowPeak.bed
1951	Homo sapiens	GSM569087	Jurkat E6-1	T Lymphocyte	Blood	POLR2A	1951_sort_peaks.narrowPeak.bed
1952	Homo sapiens	GSM509057	Jurkat E6-1	T Lymphocyte	Blood	POLR3G	1952_sort_peaks.narrowPeak.bed
1955	Homo sapiens	GSM449526	Jurkat E6-1	T Lymphocyte	Blood	RUNX1	1955_sort_peaks.narrowPeak.bed
1956	Homo sapiens	GSM614005	Jurkat	T Lymphocyte	Blood	TAL1	1956_sort_peaks.narrowPeak.bed
1957	Homo sapiens	GSM614003	Jurkat	T Lymphocyte	Blood	TAL1	1957_sort_peaks.narrowPeak.bed
1958	Homo sapiens	GSM640427	JURL_MK1	Haematopoietic Progenitor Cell	Bone Marrow	BCL6	1958_sort_peaks.narrowPeak.bed
1978	Homo sapiens	GSM701863	K562	Erythroblast	Bone Marrow	E2F6	1978_sort_peaks.narrowPeak.bed
1982	Homo sapiens	GSM540722	K562	Erythroblast	Bone Marrow	EGR1	1982_sort_peaks.narrowPeak.bed
1990	Homo sapiens	GSM610337	K562	Erythroblast	Bone Marrow	FOS	1990_sort_peaks.narrowPeak.bed
1991	Homo sapiens	GSM610336	K562	Erythroblast	Bone Marrow	FOS	1991_sort_peaks.narrowPeak.bed
1992	Homo sapiens	GSM487426	K562	Erythroblast	Bone Marrow	FOS	1992_sort_peaks.narrowPeak.bed
2000	Homo sapiens	GSM610335	K562	Erythroblast	Bone Marrow	GATA1	2000_sort_peaks.narrowPeak.bed
2001	Homo sapiens	GSM467647	K562	Erythroblast	Bone Marrow	GATA1	2001_sort_peaks.narrowPeak.bed
2002	Homo sapiens	GSM467648	K562	Erythroblast	Bone Marrow	GATA2	2002_sort_peaks.narrowPeak.bed
2078	Homo sapiens	GSM487425	K562	Erythroblast	Bone Marrow	JUN	2078_sort_peaks.narrowPeak.bed
