ID	Species	GSMID	Cell_line	Cell_type	Tissue_type	Factor	File
33725	Mus musculus	GSM1059848	F9	Embryonal carcinoma cell	Embryo	POU5F1	33725_sort_peaks.narrowPeak.bed
33727	Mus musculus	GSM1059359	None	None	Lung	FOXA1	33727_sort_peaks.narrowPeak.bed
33730	Mus musculus	GSM1059355	None	None	Lung	NKX2-1	33730_sort_peaks.narrowPeak.bed
33731	Mus musculus	GSM1059849	F9	Embryonal carcinoma cell	Embryo	SOX17	33731_sort_peaks.narrowPeak.bed
33732	Mus musculus	GSM1059856	KH2	Embryonic Stem Cell	Embryo	SOX17	33732_sort_peaks.narrowPeak.bed
33742	Mus musculus	GSM1059850	KH2	Embryonic Stem Cell	Embryo	SOX2	33742_sort_peaks.narrowPeak.bed
33744	Mus musculus	GSM1059851	KH2	Embryonic Stem Cell	Embryo	SOX2	33744_sort_peaks.narrowPeak.bed
33750	Mus musculus	GSM1059847	F9	Embryonal carcinoma cell	Embryo	POU5F1	33750_sort_peaks.narrowPeak.bed
33751	Mus musculus	GSM1059354	None	None	Lung	NKX2-1	33751_sort_peaks.narrowPeak.bed
33753	Mus musculus	GSM1059857	KH2	Embryonic Stem Cell	Embryo	SOX17	33753_sort_peaks.narrowPeak.bed
33754	Mus musculus	GSM1059362	None	None	Lung	FOXA1	33754_sort_peaks.narrowPeak.bed
33755	Mus musculus	GSM1059863	KH2	Embryonic Stem Cell	Embryo	POU5F1	33755_sort_peaks.narrowPeak.bed
33762	Mus musculus	GSM1059861	KH2	Embryonic Stem Cell	Embryo	POU5F1	33762_sort_peaks.narrowPeak.bed
33765	Mus musculus	GSM1059859	KH2	Embryonic Stem Cell	Embryo	POU5F1	33765_sort_peaks.narrowPeak.bed
33779	Mus musculus	GSM1059858	KH2	Embryonic Stem Cell	Embryo	POU5F1	33779_sort_peaks.narrowPeak.bed
33780	Mus musculus	GSM1059853	KH2	Embryonic Stem Cell	Embryo	SOX2	33780_sort_peaks.narrowPeak.bed
33782	Mus musculus	GSM1059358	None	None	Lung	FOXA1	33782_sort_peaks.narrowPeak.bed
33790	Mus musculus	GSM1059864	KH2	Embryonic Stem Cell	Embryo	POU5F1	33790_sort_peaks.narrowPeak.bed
33792	Mus musculus	GSM1059852	KH2	Embryonic Stem Cell	Embryo	SOX2	33792_sort_peaks.narrowPeak.bed
33794	Mus musculus	GSM1059862	KH2	Embryonic Stem Cell	Embryo	POU5F1	33794_sort_peaks.narrowPeak.bed
33797	Mus musculus	GSM1059854	KH2	Embryonic Stem Cell	Embryo	SOX17	33797_sort_peaks.narrowPeak.bed
33804	Mus musculus	GSM1059363	None	None	Lung	FOXA1	33804_sort_peaks.narrowPeak.bed
33805	Mus musculus	GSM978768	None	Th17	Spleen	IRF4	33805_sort_peaks.narrowPeak.bed
33806	Mus musculus	GSM978756	None	T Lymphocyte	Blood	STAT3	33806_sort_peaks.narrowPeak.bed
33807	Mus musculus	GSM978758	None	T Lymphocyte	Blood	BATF	33807_sort_peaks.narrowPeak.bed
33809	Mus musculus	GSM978772	None	Th17	Spleen	STAT3	33809_sort_peaks.narrowPeak.bed
33810	Mus musculus	GSM978753	None	T Lymphocyte	Blood	IRF8	33810_sort_peaks.narrowPeak.bed
33811	Mus musculus	GSM978765	None	T Lymphocyte	Blood	IRF4	33811_sort_peaks.narrowPeak.bed
33812	Mus musculus	GSM978757	None	T Lymphocyte	Blood	STAT3	33812_sort_peaks.narrowPeak.bed
33815	Mus musculus	GSM978764	None	T Lymphocyte	Blood	IRF4	33815_sort_peaks.narrowPeak.bed
33816	Mus musculus	GSM978754	None	T Lymphocyte	Blood	JUN	33816_sort_peaks.narrowPeak.bed
33817	Mus musculus	GSM978769	None	Th17	Spleen	JUNB	33817_sort_peaks.narrowPeak.bed
33818	Mus musculus	GSM978761	None	T Lymphocyte	Blood	BATF	33818_sort_peaks.narrowPeak.bed
33819	Mus musculus	GSM978771	None	Th17	Spleen	JUND	33819_sort_peaks.narrowPeak.bed
33820	Mus musculus	GSM978748	None	B Lymphocyte	Spleen	IRF4	33820_sort_peaks.narrowPeak.bed
33821	Mus musculus	GSM978759	None	T Lymphocyte	Blood	IRF4	33821_sort_peaks.narrowPeak.bed
33822	Mus musculus	GSM978762	None	T Lymphocyte	Blood	BATF	33822_sort_peaks.narrowPeak.bed
33824	Mus musculus	GSM978747	None	B Lymphocyte	Spleen	IRF4	33824_sort_peaks.narrowPeak.bed
33825	Mus musculus	GSM978767	None	Th17	Spleen	BATF	33825_sort_peaks.narrowPeak.bed
33826	Mus musculus	GSM978770	None	Th17	Spleen	JUN	33826_sort_peaks.narrowPeak.bed
33827	Mus musculus	GSM978751	None	T Lymphocyte	Blood	IRF4	33827_sort_peaks.narrowPeak.bed
33828	Mus musculus	GSM978750	None	T Lymphocyte	Blood	IRF4	33828_sort_peaks.narrowPeak.bed
33829	Mus musculus	GSM978755	None	T Lymphocyte	Blood	JUN	33829_sort_peaks.narrowPeak.bed
33830	Mus musculus	GSM978763	None	T Lymphocyte	Blood	BATF	33830_sort_peaks.narrowPeak.bed
33831	Mus musculus	GSM978760	None	T Lymphocyte	Blood	JUN	33831_sort_peaks.narrowPeak.bed
33832	Mus musculus	GSM913294	C2C12	Myoblast	Muscle	RBPJ	33832_sort_peaks.narrowPeak.bed
33833	Mus musculus	GSM913299	C2C12	Myoblast	Muscle	NOTCH1	33833_sort_peaks.narrowPeak.bed
33835	Mus musculus	GSM913289	C2C12	Myoblast	Muscle	EP300	33835_sort_peaks.narrowPeak.bed
33836	Mus musculus	GSM913284	C2C12	Myoblast	Muscle	RBPJ	33836_sort_peaks.narrowPeak.bed
33837	Mus musculus	GSM913292	C2C12	Myoblast	Muscle	RBPJ	33837_sort_peaks.narrowPeak.bed
33838	Mus musculus	GSM913288	C2C12	Myoblast	Muscle	EP300	33838_sort_peaks.narrowPeak.bed
33839	Mus musculus	GSM913286	C2C12	Myoblast	Muscle	RBPJ	33839_sort_peaks.narrowPeak.bed
33840	Mus musculus	GSM913282	C2C12	Myoblast	Muscle	RBPJ	33840_sort_peaks.narrowPeak.bed
33841	Mus musculus	GSM913291	C2C12	Myoblast	Muscle	EP300	33841_sort_peaks.narrowPeak.bed
33842	Mus musculus	GSM913290	C2C12	Myoblast	Muscle	EP300	33842_sort_peaks.narrowPeak.bed
33843	Mus musculus	GSM913293	C2C12	Myoblast	Muscle	RBPJ	33843_sort_peaks.narrowPeak.bed
33844	Mus musculus	GSM913295	C2C12	Myoblast	Muscle	RBPJ	33844_sort_peaks.narrowPeak.bed
33845	Mus musculus	GSM913285	C2C12	Myoblast	Muscle	RBPJ	33845_sort_peaks.narrowPeak.bed
33846	Mus musculus	GSM913287	C2C12	Myoblast	Muscle	RBPJ	33846_sort_peaks.narrowPeak.bed
33847	Mus musculus	GSM913297	C2C12	Myoblast	Muscle	RBPJ	33847_sort_peaks.narrowPeak.bed
33848	Mus musculus	GSM913298	C2C12	Myoblast	Muscle	RBPJ	33848_sort_peaks.narrowPeak.bed
33849	Mus musculus	GSM913283	C2C12	Myoblast	Muscle	RBPJ	33849_sort_peaks.narrowPeak.bed
33856	Mus musculus	GSM937828	None	Cortex	None	POLR2A	33856_sort_peaks.narrowPeak.bed
33857	Mus musculus	GSM937827	None	Cortex	None	KDM6B	33857_sort_peaks.narrowPeak.bed
33902	Mus musculus	GSM1033104	None	None	Embryo	FOXA2	33902_sort_peaks.narrowPeak.bed
33909	Mus musculus	GSM1033095	None	None	Embryo	GLI1	33909_sort_peaks.narrowPeak.bed
33914	Mus musculus	GSM1033096	None	None	Embryo	SOX2	33914_sort_peaks.narrowPeak.bed
33933	Mus musculus	GSM1070477	None	None	Epididymal White Adipose Tissue	PPARG	33933_sort_peaks.narrowPeak.bed
33937	Mus musculus	GSM1070476	None	None	Adipose	PPARG	33937_sort_peaks.narrowPeak.bed
33940	Mus musculus	GSM1089894	None	None	Corneal Epithelium	EHF	33940_sort_peaks.narrowPeak.bed
33941	Mus musculus	GSM1089892	None	Embryonic Stem Cell	Embryo	MBD3	33941_sort_peaks.narrowPeak.bed
33989	Mus musculus	GSM897582	None	None	Bone Marrow	OGT	33989_sort_peaks.narrowPeak.bed
33994	Mus musculus	GSM897581	None	None	Bone Marrow	TET2	33994_sort_peaks.narrowPeak.bed
34005	Mus musculus	GSM782847	Ainv15	Neural Progenitor Cell	Embryo	LHX3	34005_sort_peaks.narrowPeak.bed
34006	Mus musculus	GSM782848	Ainv15	Neural Progenitor Cell	Embryo	ISL1	34006_sort_peaks.narrowPeak.bed
34018	Mus musculus	GSM930144	None	Embryonic Stem Cell	Embryo	RNF2	34018_sort_peaks.narrowPeak.bed
34019	Mus musculus	GSM930148	None	Embryonic Stem Cell	Embryo	RNF2	34019_sort_peaks.narrowPeak.bed
34021	Mus musculus	GSM930142	None	Embryonic Stem Cell	Embryo	KDM2B	34021_sort_peaks.narrowPeak.bed
34022	Mus musculus	GSM930150	None	Embryonic Stem Cell	Embryo	RNF2	34022_sort_peaks.narrowPeak.bed
34023	Mus musculus	GSM930149	None	Embryonic Stem Cell	Embryo	RNF2	34023_sort_peaks.narrowPeak.bed
34024	Mus musculus	GSM930143	None	Embryonic Stem Cell	Embryo	RNF2	34024_sort_peaks.narrowPeak.bed
34027	Mus musculus	GSM930151	None	Embryonic Stem Cell	Embryo	KDM2B	34027_sort_peaks.narrowPeak.bed
34028	Mus musculus	GSM930141	None	Embryonic Stem Cell	Embryo	KDM2B	34028_sort_peaks.narrowPeak.bed
34035	Mus musculus	GSM1055553	None	Hemangioblast	Embryo	LDB1	34035_sort_peaks.narrowPeak.bed
34037	Mus musculus	GSM1090107	None	Epithelium	Embryo	GLI3	34037_sort_peaks.narrowPeak.bed
34039	Mus musculus	GSM1090230	None	Embryonic Stem Cell	Embryo	NANOG	34039_sort_peaks.narrowPeak.bed
34040	Mus musculus	GSM1090231	None	None	Embryo	NANOG	34040_sort_peaks.narrowPeak.bed
34041	Mus musculus	GSM1090228	None	Embryonic Stem Cell	Embryo	TBX3	34041_sort_peaks.narrowPeak.bed
34042	Mus musculus	GSM1090229	None	None	Embryo	TBX3	34042_sort_peaks.narrowPeak.bed
34075	Mus musculus	GSM937543	V6.5	Embryonic Stem Cell	Embryo	POLR2A	34075_sort_peaks.narrowPeak.bed
34077	Mus musculus	GSM937542	V6.5	Embryonic Stem Cell	Embryo	STAG2	34077_sort_peaks.narrowPeak.bed
34080	Mus musculus	GSM937538	V6.5	Embryonic Stem Cell	Embryo	POLR2A	34080_sort_peaks.narrowPeak.bed
34082	Mus musculus	GSM937541	V6.5	Embryonic Stem Cell	Embryo	STAG1	34082_sort_peaks.narrowPeak.bed
34083	Mus musculus	GSM937539	V6.5	Embryonic Stem Cell	Embryo	POLR2A	34083_sort_peaks.narrowPeak.bed
34084	Mus musculus	GSM937540	V6.5	Embryonic Stem Cell	Embryo	BRD4	34084_sort_peaks.narrowPeak.bed
34088	Mus musculus	GSM1124792	None	Embryonic Stem Cell	Embryo	HIST1H1D	34088_sort_peaks.narrowPeak.bed
34090	Mus musculus	GSM1124793	None	Embryonic Stem Cell	Embryo	HIST1H1D	34090_sort_peaks.narrowPeak.bed
34091	Mus musculus	GSM1124783	None	Embryonic Stem Cell	Embryo	HIST1H1D	34091_sort_peaks.narrowPeak.bed
34093	Mus musculus	GSM1124002	7438	Epithelium	Mammary Gland	ESR1	34093_sort_peaks.narrowPeak.bed
34095	Mus musculus	GSM1124001	7438	Epithelium	Mammary Gland	ESR1	34095_sort_peaks.narrowPeak.bed
34103	Mus musculus	GSM1124785	None	Embryonic Stem Cell	Embryo	HIST1H1D	34103_sort_peaks.narrowPeak.bed
34104	Mus musculus	GSM1124788	None	Embryonic Stem Cell	Embryo	MYC	34104_sort_peaks.narrowPeak.bed
34108	Mus musculus	GSM1124794	None	Embryonic Stem Cell	Embryo	H1F0	34108_sort_peaks.narrowPeak.bed
34109	Mus musculus	GSM1124786	None	Embryonic Stem Cell	Embryo	HIST1H1D	34109_sort_peaks.narrowPeak.bed
34110	Mus musculus	GSM1124787	None	Embryonic Stem Cell	Embryo	MYC	34110_sort_peaks.narrowPeak.bed
34112	Mus musculus	GSM1124003	7438	Epithelium	Mammary Gland	ESR1	34112_sort_peaks.narrowPeak.bed
34114	Mus musculus	GSM1124000	7438	Epithelium	Mammary Gland	ESR1	34114_sort_peaks.narrowPeak.bed
34115	Mus musculus	GSM1124004	7438	Epithelium	Mammary Gland	ESR1	34115_sort_peaks.narrowPeak.bed
34117	Mus musculus	GSM1124005	7438	Epithelium	Mammary Gland	ESR1	34117_sort_peaks.narrowPeak.bed
34119	Mus musculus	GSM1124784	None	Embryonic Stem Cell	Embryo	HIST1H1D	34119_sort_peaks.narrowPeak.bed
34120	Mus musculus	GSM462190	None	None	Brain	POLR2A	34120_sort_peaks.narrowPeak.bed
34121	Mus musculus	GSM462191	None	None	Brain	CXXC1	34121_sort_peaks.narrowPeak.bed
34133	Mus musculus	GSM851313	None	None	Olfactory Bulb	POLR2A	34133_sort_peaks.narrowPeak.bed
34135	Mus musculus	GSM851322	None	None	Testis	CTCF	34135_sort_peaks.narrowPeak.bed
34136	Mus musculus	GSM851304	None	Epithelium	Intestine	CTCF	34136_sort_peaks.narrowPeak.bed
34137	Mus musculus	GSM851325	None	None	Testis	POLR2A	34137_sort_peaks.narrowPeak.bed
34138	Mus musculus	GSM851328	None	None	Thymus	CTCF	34138_sort_peaks.narrowPeak.bed
34140	Mus musculus	GSM851301	None	Epithelium	Embryonic Liver	POLR2A	34140_sort_peaks.narrowPeak.bed
34142	Mus musculus	GSM851307	None	Epithelium	Intestine	POLR2A	34142_sort_peaks.narrowPeak.bed
34143	Mus musculus	GSM851316	None	Epithelium	Placenta	CTCF	34143_sort_peaks.narrowPeak.bed
34144	Mus musculus	GSM851331	None	None	Thymus	POLR2A	34144_sort_peaks.narrowPeak.bed
34152	Mus musculus	GSM851310	None	None	Olfactory Bulb	CTCF	34152_sort_peaks.narrowPeak.bed
34153	Mus musculus	GSM851319	None	Epithelium	Placenta	POLR2A	34153_sort_peaks.narrowPeak.bed
34259	Mus musculus	GSM1062364	None	Striatal Cell	None	JUND	34259_sort_peaks.narrowPeak.bed
34262	Mus musculus	GSM1062365	None	Striatal Cell	None	JUND	34262_sort_peaks.narrowPeak.bed
34266	Mus musculus	GSM1062229	None	Epithelium	Mammary Gland	ESR1	34266_sort_peaks.narrowPeak.bed
34267	Mus musculus	GSM1062362	None	Striatal Cell	None	FOSL2	34267_sort_peaks.narrowPeak.bed
34277	Mus musculus	GSM1062366	None	Striatal Cell	None	SOX2	34277_sort_peaks.narrowPeak.bed
34279	Mus musculus	GSM1062363	None	Striatal Cell	None	FOSL2	34279_sort_peaks.narrowPeak.bed
34320	Mus musculus	GSM671100	None	Neural Progenitor Cell	None	REST	34320_sort_peaks.narrowPeak.bed
34324	Mus musculus	GSM993787	None	Endoderm Cell	None	FOXA2	34324_sort_peaks.narrowPeak.bed
34358	Mus musculus	GSM1012189	None	Neural Progenitor-like Cell	None	PAX6	34358_sort_peaks.narrowPeak.bed
34360	Mus musculus	GSM1012190	None	Neural Progenitor-like Cell	None	ETV6	34360_sort_peaks.narrowPeak.bed
34362	Mus musculus	GSM1012188	None	Neural Progenitor-like Cell	None	CHRM2	34362_sort_peaks.narrowPeak.bed
34406	Mus musculus	GSM915163	C2C12	Myoblast	Muscle	SPI1	34406_sort_peaks.narrowPeak.bed
34411	Mus musculus	GSM915177	C2C12	Myoblast	Muscle	TCF7L1	34411_sort_peaks.narrowPeak.bed
34412	Mus musculus	GSM915182	C2C12	Myoblast	Muscle	FOSL2	34412_sort_peaks.narrowPeak.bed
34413	Mus musculus	GSM915174	C2C12	Myoblast	Muscle	MXI1	34413_sort_peaks.narrowPeak.bed
34415	Mus musculus	GSM915185	C2C12	Myoblast	Muscle	MYOD1	34415_sort_peaks.narrowPeak.bed
34416	Mus musculus	GSM915187	C2C12	Myoblast	Muscle	E2F4	34416_sort_peaks.narrowPeak.bed
34418	Mus musculus	GSM915159	C2C12	Myoblast	Muscle	SPI1	34418_sort_peaks.narrowPeak.bed
34419	Mus musculus	GSM915186	C2C12	Myoblast	Muscle	MYOD1	34419_sort_peaks.narrowPeak.bed
34420	Mus musculus	GSM915167	C2C12	Myoblast	Muscle	POLR2A	34420_sort_peaks.narrowPeak.bed
34422	Mus musculus	GSM915164	C2C12	Myoblast	Muscle	SPI1	34422_sort_peaks.narrowPeak.bed
34423	Mus musculus	GSM915165	C2C12	Myoblast	Muscle	MYOD1	34423_sort_peaks.narrowPeak.bed
34424	Mus musculus	GSM915183	C2C12	Myoblast	Muscle	MYOD1	34424_sort_peaks.narrowPeak.bed
34425	Mus musculus	GSM915161	C2C12	Myoblast	Muscle	MYC	34425_sort_peaks.narrowPeak.bed
34426	Mus musculus	GSM915166	C2C12	Myoblast	Muscle	SPI1	34426_sort_peaks.narrowPeak.bed
34428	Mus musculus	GSM915180	C2C12	Myoblast	Muscle	CEBPB	34428_sort_peaks.narrowPeak.bed
34429	Mus musculus	GSM915176	C2C12	Myoblast	Muscle	POLR2A	34429_sort_peaks.narrowPeak.bed
34430	Mus musculus	GSM915168	C2C12	Myoblast	Muscle	SRF	34430_sort_peaks.narrowPeak.bed
34431	Mus musculus	GSM915162	C2C12	Myoblast	Muscle	MYC	34431_sort_peaks.narrowPeak.bed
34432	Mus musculus	GSM915188	C2C12	Myoblast	Muscle	CTCF	34432_sort_peaks.narrowPeak.bed
34433	Mus musculus	GSM915173	C2C12	Myoblast	Muscle	MXI1	34433_sort_peaks.narrowPeak.bed
